data,ticker,preco_fechamento_ajustado,volume_negociado,dy
2019-04-30,AALR3,14.87,2569789.0,0.0056396817111407605
2019-05-31,AALR3,13.9,1586619.0,0.006029873669757489
2019-06-30,AALR3,14.3,10832812.0,0.005862609490291262
2019-07-31,AALR3,14.67,2810704.0,0.00571594515551048
2019-08-31,AALR3,18.99,4488459.0,0.004414560253263707
2019-09-30,AALR3,19.09,2138376.0,0.004391627472727273
2019-10-31,AALR3,17.95,2187648.0,0.004670653527624309
2019-11-30,AALR3,18.54,3491698.0,0.004523211816479401
2019-12-31,AALR3,18.01,6683463.0,0.004655221852973568
2020-01-31,AALR3,20.85,10443252.0,0.004021828204091342
2020-02-29,AALR3,18.7,7727571.0,0.004484818506631299
2020-03-31,AALR3,8.93,5112705.0,0.009393203205555554
2020-04-30,AALR3,10.49,6675878.0,0.008321978460438513
2020-05-31,AALR3,10.2,12307047.0,0.008558583730392158
2020-06-30,AALR3,10.29,8001607.0,0.008483727312925172
2020-07-31,AALR3,11.36,10699641.0,0.007684643842429578
2020-08-31,AALR3,11.99,5843390.0,0.007280863557130942
2020-09-30,AALR3,10.15,3763596.0,0.008600744241379311
2020-10-31,AALR3,9.68,5108582.0,0.00901834236053719
2020-11-30,AALR3,10.84,4815164.0,0.00805327989391144
2020-12-31,AALR3,11.1,3639217.0,0.007864644509009009
2021-01-31,AALR3,10.69,3089362.0,0.008166281950420955
2021-02-28,AALR3,9.01,8184369.0,0.0096889627136515
2021-03-31,AALR3,9.0,3777238.0,0.009699728227777779
2021-04-30,AALR3,8.84,5751637.0,0.0
2021-05-31,AALR3,12.27,34308663.0,0.0
2021-06-30,AALR3,11.76,26388985.0,0.0
2021-07-31,AALR3,10.14,6605089.0,0.0
2021-08-31,AALR3,12.66,59996982.0,0.0
2021-09-30,AALR3,11.55,7358156.0,0.0
2021-10-31,AALR3,14.8,10971561.0,0.0
2021-11-30,AALR3,18.5,21903202.0,0.0
2021-12-31,AALR3,14.97,16435170.0,0.0
2022-01-31,AALR3,16.5,7399741.0,0.0
2022-02-28,AALR3,16.95,8184943.0,0.0
2022-03-31,AALR3,17.95,7540347.0,0.0
2022-04-30,AALR3,19.41,14055007.0,0.0
2022-05-31,AALR3,20.01,9986892.0,0.0
2022-06-30,AALR3,19.51,10370166.0,0.0
2022-07-31,AALR3,20.59,6754188.0,0.0
2022-08-31,AALR3,20.1,3090715.0,0.0
2022-09-30,AALR3,20.98,3670541.0,0.0
2022-10-31,AALR3,21.19,6064344.0,0.0
2022-11-30,AALR3,20.2,13257085.0,0.0
2022-12-31,AALR3,21.6,18754418.0,0.0
2023-01-31,AALR3,21.39,6634724.0,0.0
2023-02-28,AALR3,20.75,55889576.0,0.0
2023-03-31,AALR3,22.53,2979082.0,0.0
2023-04-30,AALR3,22.85,6998537.0,0.0
2023-05-31,AALR3,22.99,6093769.0,0.0
2023-06-30,AALR3,23.8,9959410.0,0.0
2023-07-31,AALR3,24.15,8068415.0,0.0
2023-08-31,AALR3,8.01,2559373.0,0.0
2023-09-30,AALR3,9.77,1602249.0,0.0
2023-10-31,AALR3,9.75,629004.0,0.0
2023-11-30,AALR3,11.4,3503454.0,0.0
2012-12-31,ABCB4,7.65,6151157.0,0.02337110481586403
2013-01-31,ABCB4,8.03,844803.0,0.043878954607978006
2013-02-28,ABCB4,8.0,2523013.0,0.04400000000000001
2013-03-31,ABCB4,9.03,9223149.0,0.03902140672782875
2013-04-30,ABCB4,8.74,5004890.0,0.04027777777777779
2013-05-31,ABCB4,8.16,5132252.0,0.0431372549019608
2013-06-30,ABCB4,7.46,3309262.0,0.0691820133234641
2013-07-31,ABCB4,6.75,4336731.0,0.050387416666666664
2013-08-31,ABCB4,6.72,5561881.0,0.05059824267782427
2013-09-30,ABCB4,7.31,2783979.0,0.046511461538461536
2013-10-31,ABCB4,7.76,4937472.0,0.043846918056562725
2013-11-30,ABCB4,7.03,3295471.0,0.04837192
2013-12-31,ABCB4,7.11,2221700.0,0.0718076740506329
2014-01-31,ABCB4,6.85,1983550.0,0.05026395641240569
2014-02-28,ABCB4,6.46,5458692.0,0.05330213333333332
2014-03-31,ABCB4,7.26,5557024.0,0.04740308300395256
2014-04-30,ABCB4,7.49,1436660.0,0.04595011494252872
2014-05-31,ABCB4,7.53,4019326.0,0.04573981693363843
2014-06-30,ABCB4,7.81,3708263.0,0.04625
2014-07-31,ABCB4,7.59,3746457.0,0.04857142857142857
2014-08-31,ABCB4,8.79,4471285.0,0.041933333333333336
2014-09-30,ABCB4,7.94,1948140.0,0.046420664206642065
2014-10-31,ABCB4,8.07,2635523.0,0.04567901234567901
2014-11-30,ABCB4,8.18,6694196.0,0.04508960573476703
2014-12-31,ABCB4,7.91,3170529.0,0.04881481481481482
2015-01-31,ABCB4,6.8,1308005.0,0.05806167400881058
2015-02-28,ABCB4,7.16,6717823.0,0.05514644351464436
2015-03-31,ABCB4,6.89,3402906.0,0.05730434782608696
2015-04-30,ABCB4,7.72,5462996.0,0.05108527131782946
2015-05-31,ABCB4,6.99,3814167.0,0.05642123287671233
2015-06-30,ABCB4,7.01,2735004.0,0.06282107435897437
2015-07-31,ABCB4,6.38,1998971.0,0.07108380754352031
2015-08-31,ABCB4,5.6,2436760.0,0.08094786013215859
2015-09-30,ABCB4,5.74,3139053.0,0.07903296451612903
2015-10-31,ABCB4,5.24,2250763.0,0.08647136117647058
2015-11-30,ABCB4,5.64,3843316.0,0.0803285868852459
2015-12-31,ABCB4,5.38,3578420.0,0.09908478258877433
2016-01-31,ABCB4,5.2,1778538.0,0.10745467726708073
2016-02-29,ABCB4,5.68,2483043.0,0.09829660818181817
2016-03-31,ABCB4,7.94,7408143.0,0.07032602861788617
2016-04-30,ABCB4,7.65,1566007.0,0.07299663729957806
2016-05-31,ABCB4,7.85,5810725.0,0.07113570328947368
2016-06-30,ABCB4,8.44,1312741.0,0.07735299020657996
2016-07-31,ABCB4,9.44,2068180.0,0.07170238170212767
2016-08-31,ABCB4,9.61,4230166.0,0.07045321128919861
2016-09-30,ABCB4,9.04,2124493.0,0.07488915422222223
2016-10-31,ABCB4,10.3,4111165.0,0.0657349533159948
2016-11-30,ABCB4,9.24,3237560.0,0.07326112913043478
2016-12-31,ABCB4,9.33,4630701.0,0.0780330222541278
2017-01-31,ABCB4,11.46,3038383.0,0.0656797583081571
2017-02-28,ABCB4,12.6,19875070.0,0.05972527472527474
2017-03-31,ABCB4,12.97,4513898.0,0.05803523758675922
2017-04-30,ABCB4,12.34,6889856.0,0.06099887766554434
2017-05-31,ABCB4,12.02,9800420.0,0.0626152073732719
2017-06-30,ABCB4,11.63,5267868.0,0.06509827278141751
2017-07-31,ABCB4,11.66,4513234.0,0.06676847892486255
2017-08-31,ABCB4,12.12,20228658.0,0.06425631981187536
2017-09-30,ABCB4,12.57,6496026.0,0.06196145124716553
2017-10-31,ABCB4,12.79,8114982.0,0.06089136490250696
2017-11-30,ABCB4,11.59,8568916.0,0.06717885679164105
2017-12-31,ABCB4,12.24,8953198.0,0.09458672875436554
2018-01-31,ABCB4,13.87,8827257.0,0.05727848101265822
2018-02-28,ABCB4,13.79,14376708.0,0.05764331210191082
2018-03-31,ABCB4,13.28,6556931.0,0.05983471074380165
2018-04-30,ABCB4,13.73,9391893.0,0.057889125799573546
2018-05-31,ABCB4,12.0,8807977.0,0.06621951219512195
2018-06-30,ABCB4,11.03,13233047.0,0.10789648307896482
2018-07-31,ABCB4,11.71,3949012.0,0.06907216494845361
2018-08-31,ABCB4,11.13,2594351.0,0.07267796610169491
2018-09-30,ABCB4,10.54,3885436.0,0.07679083094555873
2018-10-31,ABCB4,12.2,5337903.0,0.06629560915275201
2018-11-30,ABCB4,12.43,13532255.0,0.06508803885853066
2018-12-31,ABCB4,12.74,8173508.0,0.06392180094786731
2019-01-31,ABCB4,15.48,12057911.0,0.054085213032581465
2019-02-28,ABCB4,14.18,5439014.0,0.05902625820568928
2019-03-31,ABCB4,14.78,11911502.0,0.05664041994750657
2019-04-30,ABCB4,15.09,4823906.0,0.05547557840616968
2019-05-31,ABCB4,14.03,8563688.0,0.05967920353982303
2019-06-30,ABCB4,14.91,5980140.0,0.05613943808532779
2019-07-31,ABCB4,14.26,11281320.0,0.06123814835471278
2019-08-31,ABCB4,14.63,11589735.0,0.05970636215334421
2019-09-30,ABCB4,14.24,5880974.0,0.06134078212290504
2019-10-31,ABCB4,14.35,10553657.0,0.060864745011086484
2019-11-30,ABCB4,14.63,19056527.0,0.05967391304347827
2019-12-31,ABCB4,16.06,14783300.0,0.052005943536404156
2020-01-31,ABCB4,17.63,15003160.0,0.04836480884385076
2020-02-29,ABCB4,16.23,15396108.0,0.052552552552552555
2020-03-31,ABCB4,10.75,11452758.0,0.07930513595166164
2020-04-30,ABCB4,11.61,20377100.0,0.07347795661301611
2020-05-31,ABCB4,11.37,8366990.0,0.075
2020-06-30,ABCB4,11.43,11601144.0,0.07457386363636363
2020-07-31,ABCB4,11.42,11898836.0,0.03492176386913229
2020-08-31,ABCB4,11.02,6855164.0,0.048338746875000005
2020-09-30,ABCB4,9.63,13824403.0,0.05533839505962521
2020-10-31,ABCB4,10.0,9702311.0,0.05325186540983607
2020-11-30,ABCB4,11.91,14591250.0,0.04474330289256199
2020-12-31,ABCB4,12.85,12795795.0,0.010125893937460115
2021-01-31,ABCB4,12.62,8676088.0,0.0328813410986102
2021-02-28,ABCB4,12.82,21249623.0,0.03234616302083334
2021-03-31,ABCB4,12.11,9946704.0,0.04895428027586207
2021-04-30,ABCB4,12.51,10415716.0,0.047961963783783784
2021-05-31,ABCB4,14.58,10576422.0,0.04114997472463768
2021-06-30,ABCB4,13.43,13410166.0,0.05849099899244333
